Code,Description,Manufacturer,Official_Severity,Color_Raw,Operator_Action,Product_Type,Occurrences_2025,Containers_Affected,Containers_With_True_Failure,Empirical_Failure_Rate,Recommendation
531,Check Economizer Pressure Sensor (Scroll only),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
538,Engine J1939 CAN Data Link Degraded,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
539,Engine J1939 CAN Data Link Failed,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
540,Illegal Engine Operating State,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
542,Battery Charger Fault – Unit Forced to Low Speed,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
543,Battery Charger Internal Short,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
544,Battery Charger External Short,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
545,Battery Charger Output Voltage Exceeded Limit,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
546,Battery Charger Operating Bulk Voltage Out of Range,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
547,AC Bus Phase Loss,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
548,Battery Charger Temperature Below Operating Range,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
549,Battery Charger AC Input Overvoltage,ThermoKing,Green,ok,Maintenance information only. Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
550,Battery Charger Internal Overvoltage Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
551,Battery Charger Internal Temp Sensor Fault,ThermoKing,Green,ok,nan,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
553,Battery Charger Operating Derated Due to High temp,ThermoKing,Green,ok,nan,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
599,Engine Service Tool Connected,ThermoKing,Green,ok,Report alarm at end of day.,Precedent 500 Series,0,0,0,,Not observed in 2025. Per TK manual: informational only.
600,Check Crankshaft Speed Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
605,Check Fresh Air Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
608,Check Rail Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
611,Check Glow Plug Circuit,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
613,Check Injectors,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
614,Check High Pressure Fuel Pump,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
616,Engine Overspeed,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
617,Internal ECU Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
618,Check EGR System,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
620,No RPM Detected During Start Attempt,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
623,TRUCAN Message Timeout,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
624,Check EGR Temperature Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
625,Check Intake Air Temperature Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
626,Check Exhaust Temperature Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
642,ECU Forced Low Speed,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
699,Unknown ECU Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 600 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
800,Crankshaft Position Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
801,Camshaft Position Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
804,Engine Coolant Temperature Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
807,Fuel Temperature Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
808,Rail Pressure Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
809,Intake Air Pressure Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
810,Atmospheric Pressure Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
811,Glow Plug Circuit Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
813,General Injector Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
815,Fuel Pressure Regulator Error,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
818,EGR Valve Actuator Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
819,ECU Power Relay Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
820,Main ECU Relay Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
825,T1 Air Intake Temperature Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
826,T2 Air Intake Temperature Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
827,EGR Valve Position Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
828,Lambda System Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
829,Engine Communication Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
830,Air Flow Meter Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
832,Engine Power Supply Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
833,High Pressure Pump Fuel Metering Unit Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
834,Water in Fuel Sensor Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
836,Major ECU Failures,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
838,Intake Air System Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
839,Engine Speed Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
840,Fuel Injection Energizing Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
841,High Pressure Pump Wear,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
842,Engine Running in Safe Mode – Low Speed,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
843,Fuel Injection System Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
844,Engine Failed to Crank,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
845,Starter Relay Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
846,T50 Switch Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
847,Variant Coding Error,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: informational only.
853,Engine Overspeed (No DTC),ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
854,Engine Protection Self Shutdown,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
899,Unknown ECU Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 800 Series, DTC",0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
P1E,Return Air Temperature Sensor Fault,ThermoKing,Yellow,check,Report alarm at end of day.,DSR,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
P2E,Remote Return Air Temperature Sensor Fault,ThermoKing,Yellow,check,Report alarm at end of day.,DSR,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
OL,Electric Standby Overload,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
bAt,Low Battery Voltage,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
HP,High Discharge Pressure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
LP,Low Suction Pressure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
PSE,High Pressure Sensor Fault,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
tEP,Electric Standby Motor Thermal Protection Alarm,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
tP4,Power Supply Thermal Protection Alarm,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
dr1,Door 1 Open/Door Switch 1 Failure,ThermoKing,Yellow,check,Close door. Report alarm at end of day.,DSR,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
dr2,Door 2 Open/Door Switch 2 Failure,ThermoKing,Yellow,check,Close door. Report alarm at end of day.,DSR,0,0,0,,Not observed in 2025. Per TK manual: monitor and report.
tCO,Electronic Control Module Internal Temperature Exceeds Limit,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
SOF,Microprocessor Software Failure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
- C -,"Communications Failure, Microprocessor to In-Cab",ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",DSR,0,0,0,,Not observed in 2025. Per TK manual: immediate service required.
CRR_001,Low Fuel Level Warning,Carrier,Green,ok,"Add fuel, alarm will clear.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: informational only.
CRR_002,Low Engine Oil Level Warning,Carrier,Green,ok,"Add oil, alarm will clear.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: informational only.
CRR_003,Low Coolant Level,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
38,Check High Speed RPM,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_004,Low Refrigerant Level,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
39,Check Engine RPM,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_005,Damper Requires Newer Micro,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_006,EES Regen Failure,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_007,Check/Low Engine Oil Pressure,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_008,High Coolant Temp,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_009,High Discharge Pressure,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
55,Check Defrost Air Switch,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_010,High A/C Amps,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
56,Check Evaporator Air Flow,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_011,Battery Voltage Too High,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
57,Check Remote Switch 1,Carrier,Red,take action,"Close all compartment doors, unit should restart. If unit is shutdown, repair immediately",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_012,Battery Voltage Too Low,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
58,Check Remote Switch 2,Carrier,Unknown,,,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: informational only.
CRR_013,High Comp Disch Temp,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
59,Datalogger Not Recording,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_014,Low Refrigerant Press,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
60,Datalogger Time Wrong,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
61,Door Open,Carrier,Red,take action,"Close all compartment doors, unit should restart. If unit is shutdown, repair immediately.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_015,Low Fuel Shutdown,Carrier,Yellow,check,"Add fuel, unit will restart*.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_016,"Technician Reset
Required",Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
62,"C2 Box Temp Out of
Range",Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_017,Low Suction Superheat,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
64,Damper Positioning Failure (Small Motor),Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_018,A/C Current Over Limit,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
65,Check Damper Not Closing (Small Motor),Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_019,Compression Ratio Exceeded,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
66,Check EVAP Sensor Group,Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_020,Check Damper System,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_021,High Suction Pressure,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
71,Bad F2 or F3 Fuse,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_022,Check Refrig System,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
72,Bad F4 or F6 Fuse,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_023,Check Heat Cycle,Carrier,Yellow,check,"Reset, report reactivation",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
73,No A/C Power – Check Cord,Carrier,Yellow,check,Switch to Diesel Operation & Repair,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
74,AC Phase Reversed,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_024,Failed To Run Min Time,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_025,Failed To Start – Auto Mode,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
75,Compressor Motor Overload,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_026,Failed To Start – Manual,Carrier,Yellow,check,"Turn switch off then back on, unit will start automatically.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
76,Condenser Motor Overheated,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_027,Engine Failed to Stop,Carrier,Red,take action,Move fuel arm to stop position (if equipped) or report & repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
77,Evap Motor Overheated,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_028,Check SV1 Circuit,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_029,Check SV4 Circuit,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_030,Check SV3 Circuit,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_031,Check FHR Circuit,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_032,Check Remote Out of Range Light,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
125,Check Comp Discharge Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_033,Check Remote Defrost Light,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_034,Check UL1 Circuit,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_035,Check UL2 Circuit,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_036,Check Remote Heat Light,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_037,Check Remote Cool Light,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
130,Check Engine RPM Sensor,Carrier,Yellow,check,"If shut down, repair immediately. Otherwise, report and repair at end of trip.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_038,Check Remote Auto Light,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_039,Check AFA Solenoid Circuit,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
131,Check Evap Temp Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_040,Check 1HTCON1 Relay Coil,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_041,Check 1HTCON2 Relay Coil,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
133,Check Remote Temp Sensor 1,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_042,Check Start Up Buzzer,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
134,Check Remote Temp Sensor 2,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_043,Check Comp Contactor 1,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_044,Check CDCON Relay Coil,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
135,Check Remote Temp Sensor 3,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_045,Check GENCONR Relay Coil,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
136,C2 Check Supply Air Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_046,Check SV2 Circuit,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_047,Check High Temperature Thermostat,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_048,Check Standby Contactor,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
138,C3 Check Return Air Sensor,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_049,Overload/Ground Fault,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_050,C2 Evap Motor Overheated,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
139,C2 Check Defrost Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
140,C3 Check Defrost Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
CRR_051,C3 Evap Motor Overheated,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
P00141,Pretrip Stopped By User,Carrier,Red,take action,Report and repair immediately.,Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: immediate service required.
CRR_052,Check 2HTCON1 Relay Coil,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,0,0,0,,Not observed in 2025. Per Carrier manual: monitor and report.
